,ReportDate,CrashCount,Year,Month,Day
298,2014/01/24,51,2014,01,24
299,2014/01/25,45,2014,01,25
300,2014/01/26,34,2014,01,26
301,2014/01/27,31,2014,01,27
302,2014/01/28,42,2014,01,28
303,2014/01/29,51,2014,01,29
304,2014/01/30,48,2014,01,30
305,2014/01/31,45,2014,01,31
306,2014/02/01,51,2014,02,01
307,2014/02/02,43,2014,02,02
308,2014/02/03,47,2014,02,03
309,2014/02/04,51,2014,02,04
310,2014/02/05,30,2014,02,05
311,2014/02/06,51,2014,02,06
312,2014/02/07,53,2014,02,07
313,2014/02/08,48,2014,02,08
314,2014/02/09,27,2014,02,09
315,2014/02/10,52,2014,02,10
316,2014/02/11,39,2014,02,11
317,2014/02/12,53,2014,02,12
318,2014/02/13,26,2014,02,13
319,2014/02/14,42,2014,02,14
320,2014/02/15,39,2014,02,15
321,2014/02/16,30,2014,02,16
322,2014/02/17,25,2014,02,17
323,2014/02/18,55,2014,02,18
324,2014/02/19,55,2014,02,19
325,2014/02/20,56,2014,02,20
326,2014/02/21,49,2014,02,21
327,2014/02/22,65,2014,02,22
328,2014/02/23,33,2014,02,23
329,2014/02/24,51,2014,02,24
330,2014/02/25,65,2014,02,25
331,2014/02/26,56,2014,02,26
332,2014/02/27,51,2014,02,27
333,2014/02/28,62,2014,02,28
334,2014/03/01,49,2014,03,01
335,2014/03/02,47,2014,03,02
336,2014/03/03,30,2014,03,03
337,2014/03/04,59,2014,03,04
338,2014/03/05,51,2014,03,05
339,2014/03/06,47,2014,03,06
340,2014/03/07,62,2014,03,07
341,2014/03/08,53,2014,03,08
342,2014/03/09,44,2014,03,09
343,2014/03/10,39,2014,03,10
344,2014/03/11,52,2014,03,11
345,2014/03/12,44,2014,03,12
346,2014/03/13,49,2014,03,13
347,2014/03/14,56,2014,03,14
348,2014/03/15,56,2014,03,15
349,2014/03/16,38,2014,03,16
350,2014/03/17,25,2014,03,17
351,2014/03/18,49,2014,03,18
352,2014/03/19,49,2014,03,19
353,2014/03/20,54,2014,03,20
354,2014/03/21,54,2014,03,21
355,2014/03/22,50,2014,03,22
356,2014/03/23,52,2014,03,23
357,2014/03/24,47,2014,03,24
358,2014/03/25,39,2014,03,25
359,2014/03/26,43,2014,03,26
360,2014/03/27,51,2014,03,27
361,2014/03/28,65,2014,03,28
362,2014/03/29,65,2014,03,29
363,2014/03/30,56,2014,03,30
364,2014/03/31,73,2014,03,31
365,2014/04/01,53,2014,04,01
366,2014/04/02,49,2014,04,02
367,2014/04/03,50,2014,04,03
368,2014/04/04,62,2014,04,04
